,ratio,sensitiveType
0,0.8096241088788075,Male
1,0.1903758911211925,Female
2,0.05557355800388853,Other
3,0.5144199611147116,African-American
4,0.34073233959818533,Caucasian
5,0.08246921581335062,Hispanic
6,0.005022683084899547,Asian
7,0.0017822423849643552,Native American
8,0.04617627997407647,Male-Other
9,0.4254698639014906,Male-African-American
10,0.2626377187297472,Male-Caucasian
11,0.06918340894361633,Male-Hispanic
12,0.004698639014906027,Male-Asian
13,0.001458198314970836,Male-Native American
14,0.009397278029812054,Female-Other
15,0.088950097213221,Female-African-American
16,0.0780946208684381,Female-Caucasian
17,0.013285806869734284,Female-Hispanic
18,0.0003240440699935191,Female-Asian
19,0.0003240440699935191,Female-Native American
20,0.04617627997407647,Other-Male
21,0.009397278029812054,Other-Female
22,0.4254698639014906,African-American-Male
23,0.088950097213221,African-American-Female
24,0.2626377187297472,Caucasian-Male
25,0.0780946208684381,Caucasian-Female
26,0.06918340894361633,Hispanic-Male
27,0.013285806869734284,Hispanic-Female
28,0.004698639014906027,Asian-Male
29,0.0003240440699935191,Asian-Female
30,0.001458198314970836,Native American-Male
31,0.0003240440699935191,Native American-Female
