algorithm,params,run-id,accuracy,TPR,TNR,BCR,MCC,DIbinary,DIavgall,CV,0-accuracy,1-accuracy,Race-accuracy,0-accuracy_over_1-accuracy,Race-accuracyRatio,diff:1-accuracyto0-accuracy,Race-accuracyDiff,0-TPR,1-TPR,Race-TPR,0-TPR_over_1-TPR,Race-TPRRatio,diff:1-TPRto0-TPR,Race-TPRDiff,0-TNR,1-TNR,Race-TNR,0-TNR_over_1-TNR,Race-TNRRatio,diff:1-TNRto0-TNR,Race-TNRDiff,0-FPR,1-FPR,Race-FPR,0-FPR_over_1-FPR,Race-FPRRatio,diff:1-FPRto0-FPR,Race-FPRDiff,0-FNR,1-FNR,Race-FNR,0-FNR_over_1-FNR,Race-FNRRatio,diff:1-FNRto0-FNR,Race-FNRDiff,0-calibration+,1-calibration+,Race-calibration+,0-calibration+_over_1-calibration+,Race-calibration+Ratio,diff:1-calibration+to0-calibration+,Race-calibration+Diff,0-calibration-,1-calibration-,Race-calibration-,0-calibration-_over_1-calibration-,Race-calibration-Ratio,diff:1-calibration-to0-calibration-,Race-calibration-Diff,SG:Race-accuracy,SG:Race-TPR,SG:Race-TNR,SG:Race-BCR,SG:Race-MCC,SG:Race-DIbinary,SG:Race-DIavgall,SG:Race-CV,SG:Race-calibration-,SG:Race-calibration+
SVM,,0,0.7,0.47619047619047616,0.9473684210526315,0.7117794486215538,0.47370166938718355,1.0857142857142856,1.0857142857142856,1.0225563909774436,0.8571428571428571,0.5263157894736842,0.6917293233082706,1.6285714285714286,1.6285714285714286,1.330827067669173,1.330827067669173,0.6666666666666666,0.3333333333333333,0.5,2.0,2.0,1.3333333333333333,1.3333333333333333,1.0,0.8571428571428571,0.9285714285714286,1.1666666666666667,1.1666666666666667,1.1428571428571428,1.1428571428571428,0.0,0.1428571428571429,0.07142857142857145,0.0,1.0,0.8571428571428571,0.8571428571428571,0.33333333333333337,0.6666666666666667,0.5,0.5,0.5,0.6666666666666666,0.6666666666666666,1.0,0.8,0.9,1.25,1.25,1.2,1.2,0.2,0.5714285714285714,0.3857142857142857,0.35000000000000003,0.35000000000000003,0.6285714285714286,0.6285714285714286,0.7,0.47619047619047616,0.9473684210526315,0.7117794486215538,0.47370166938718355,1.0857142857142856,1.0857142857142856,1.0225563909774436,0.5714285714285714,0.9090909090909091
SVM,,1,0.75,0.875,0.6666666666666666,0.7708333333333333,0.5333964609104418,1.2934782608695654,1.2934782608695654,1.1381074168797953,0.6521739130434783,0.8823529411764706,0.7672634271099744,0.7391304347826088,0.7391304347826088,0.7698209718670077,0.7698209718670077,1.0,0.8,0.9,1.25,1.25,1.2,1.2,0.5294117647058824,1.0,0.7647058823529411,0.5294117647058824,0.5294117647058824,0.5294117647058824,0.5294117647058824,0.47058823529411764,0.0,0.23529411764705882,0.0,1.0,1.4705882352941178,1.4705882352941178,0.0,0.19999999999999996,0.09999999999999998,0.0,1.0,0.8,0.8,0.42857142857142855,1.0,0.7142857142857143,0.42857142857142855,0.42857142857142855,0.4285714285714286,0.4285714285714286,0.0,0.2222222222222222,0.1111111111111111,0.0,1.0,0.7777777777777778,0.7777777777777778,0.8823529411764706,0.875,1.0,0.9,0.7888106377466156,1.2934782608695654,1.2934782608695654,1.1381074168797953,0.2222222222222222,1.0
SVM,,2,0.725,0.47619047619047616,1.0,0.7380952380952381,0.549169647365276,1.3529411764705883,1.3529411764705883,1.0767263427109974,0.9411764705882353,0.5652173913043478,0.7531969309462916,1.665158371040724,1.665158371040724,1.3759590792838874,1.3759590792838874,0.8333333333333334,0.3333333333333333,0.5833333333333334,2.5000000000000004,2.5000000000000004,1.5,1.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.16666666666666663,0.6666666666666667,0.4166666666666667,0.24999999999999992,0.24999999999999992,0.4999999999999999,0.4999999999999999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.08333333333333333,0.5555555555555556,0.3194444444444445,0.15,0.15,0.5277777777777777,0.5277777777777777,0.725,0.47619047619047616,1.0,0.7380952380952381,0.549169647365276,1.3529411764705883,1.3529411764705883,1.0767263427109974,0.5555555555555556,1.0
SVM,,3,0.725,0.7857142857142857,0.6923076923076923,0.739010989010989,0.4565749798446152,0.9839572192513368,0.9839572192513368,0.9923273657289002,0.6470588235294118,0.782608695652174,0.7148337595907929,0.8267973856209151,0.8267973856209151,0.8644501278772379,0.8644501278772379,0.75,0.8,0.775,0.9375,0.9375,0.95,0.95,0.6153846153846154,0.7692307692307693,0.6923076923076923,0.8,0.8,0.8461538461538461,0.8461538461538461,0.3846153846153846,0.23076923076923073,0.30769230769230765,1.6666666666666667,1.6666666666666667,1.1538461538461537,1.1538461538461537,0.25,0.19999999999999996,0.22499999999999998,1.2500000000000002,1.2500000000000002,1.05,1.05,0.375,0.7272727272727273,0.5511363636363636,0.515625,0.515625,0.6477272727272727,0.6477272727272727,0.1111111111111111,0.16666666666666666,0.1388888888888889,0.6666666666666666,0.6666666666666666,0.9444444444444444,0.9444444444444444,0.782608695652174,0.8,0.7692307692307693,0.7846153846153847,0.564901955311025,0.9839572192513368,1.0,0.9923273657289002,0.16666666666666666,0.7272727272727273
SVM,,4,0.85,1.0,0.7272727272727273,0.8636363636363636,0.7385489458759962,0.75,0.75,0.8333333333333334,0.8125,0.875,0.84375,0.9285714285714286,0.9285714285714286,0.9375,0.9375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7272727272727273,0.7272727272727273,0.7272727272727273,1.0,1.0,1.0,1.0,0.2727272727272727,0.2727272727272727,0.2727272727272727,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.625,0.8125,0.71875,0.7692307692307693,0.7692307692307693,0.8125,0.8125,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.875,1.0,0.7272727272727273,0.8636363636363636,0.7687061147858073,0.75,1.0,0.8333333333333334,0.0,0.8125
SVM,,5,0.8,0.6,1.0,0.8,0.6546536707079772,1.6666666666666667,1.6666666666666667,1.1600000000000001,0.9333333333333333,0.72,0.8266666666666667,1.2962962962962963,1.2962962962962963,1.2133333333333334,1.2133333333333334,0.8571428571428571,0.46153846153846156,0.6593406593406593,1.857142857142857,1.857142857142857,1.3956043956043955,1.3956043956043955,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.1428571428571429,0.5384615384615384,0.34065934065934067,0.2653061224489797,0.2653061224489797,0.6043956043956045,0.6043956043956045,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.1111111111111111,0.3684210526315789,0.23976608187134502,0.30158730158730157,0.30158730158730157,0.7426900584795322,0.7426900584795322,0.8,0.6,1.0,0.8,0.6546536707079772,1.6666666666666667,1.6666666666666667,1.1600000000000001,0.3684210526315789,1.0
SVM,,6,0.675,0.5714285714285714,0.7894736842105263,0.6804511278195489,0.3678836036909795,0.5555555555555556,0.5555555555555556,0.7866666666666666,0.9333333333333333,0.52,0.7266666666666667,1.794871794871795,1.794871794871795,1.4133333333333333,1.4133333333333333,1.0,0.5,0.75,2.0,2.0,1.5,1.5,0.9166666666666666,0.5714285714285714,0.7440476190476191,1.6041666666666667,1.6041666666666667,1.3452380952380953,1.3452380952380953,0.08333333333333337,0.4285714285714286,0.255952380952381,0.1944444444444445,0.1944444444444445,0.6547619047619048,0.6547619047619048,0.0,0.5,0.25,0.0,1.0,0.5,0.5,0.75,0.75,0.75,1.0,1.0,1.0,1.0,0.0,0.6923076923076923,0.34615384615384615,0.0,1.0,0.3076923076923077,0.3076923076923077,0.675,0.5714285714285714,0.7894736842105263,0.6804511278195489,0.3678836036909795,0.5555555555555556,1.0,0.7866666666666666,0.6923076923076923,0.75
SVM,,7,0.65,1.0,0.391304347826087,0.6956521739130435,0.4632345574970277,0.9473684210526316,0.9473684210526316,0.9583333333333334,0.5,0.75,0.625,0.6666666666666666,0.6666666666666666,0.75,0.75,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,0.45454545454545453,0.3939393939393939,0.7333333333333333,0.7333333333333333,0.8787878787878788,0.8787878787878788,0.6666666666666667,0.5454545454545454,0.6060606060606061,1.2222222222222225,1.2222222222222225,1.1212121212121213,1.1212121212121213,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,0.6842105263157895,0.5087719298245614,0.4871794871794871,0.4871794871794871,0.6491228070175439,0.6491228070175439,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.75,1.0,0.45454545454545453,0.7272727272727273,0.5576780295914437,0.9473684210526316,1.0,0.9583333333333334,0.0,0.6842105263157895
SVM,,8,0.825,0.9375,0.75,0.84375,0.6744532734334624,0.5,0.5,0.65,0.85,0.8,0.825,1.0625,1.0625,1.0499999999999998,1.0499999999999998,1.0,0.9166666666666666,0.9583333333333333,1.090909090909091,1.090909090909091,1.0833333333333335,1.0833333333333335,0.8125,0.625,0.71875,1.3,1.3,1.1875,1.1875,0.1875,0.375,0.28125,0.5,0.5,0.8125,0.8125,0.0,0.08333333333333337,0.041666666666666685,0.0,1.0,0.9166666666666666,0.9166666666666666,0.5714285714285714,0.7857142857142857,0.6785714285714286,0.7272727272727273,0.7272727272727273,0.7857142857142857,0.7857142857142857,0.0,0.16666666666666666,0.08333333333333333,0.0,1.0,0.8333333333333334,0.8333333333333334,0.825,0.9375,0.75,0.84375,0.6744532734334624,0.5,1.0,0.65,0.16666666666666666,0.7857142857142857
SVM,,9,0.825,0.6666666666666666,1.0,0.8333333333333333,0.6979824404521127,0.6790123456790124,0.6790123456790124,0.8686868686868687,0.8888888888888888,0.7727272727272727,0.8308080808080808,1.1503267973856208,1.1503267973856208,1.1161616161616161,1.1161616161616161,0.7142857142857143,0.6428571428571429,0.6785714285714286,1.1111111111111112,1.1111111111111112,1.0714285714285714,1.0714285714285714,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.2857142857142857,0.3571428571428571,0.3214285714285714,0.8,0.8,0.9285714285714286,0.9285714285714286,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.15384615384615385,0.38461538461538464,0.2692307692307693,0.4,0.4,0.7692307692307692,0.7692307692307692,0.825,0.6666666666666666,1.0,0.8333333333333333,0.6979824404521127,0.6790123456790124,1.0,0.8686868686868687,0.38461538461538464,1.0
GaussianNB,,0,0.925,0.9047619047619048,0.9473684210526315,0.9260651629072681,0.8510644963469901,0.6031746031746031,0.6031746031746031,0.7493734335839599,0.9523809523809523,0.8947368421052632,0.9235588972431077,1.0644257703081232,1.0644257703081232,1.0576441102756893,1.0576441102756893,0.8888888888888888,0.9166666666666666,0.9027777777777777,0.9696969696969697,0.9696969696969697,0.9722222222222222,0.9722222222222222,1.0,0.8571428571428571,0.9285714285714286,1.1666666666666667,1.1666666666666667,1.1428571428571428,1.1428571428571428,0.0,0.1428571428571429,0.07142857142857145,0.0,1.0,0.8571428571428571,0.8571428571428571,0.11111111111111116,0.08333333333333337,0.09722222222222227,1.3333333333333333,1.3333333333333333,1.0277777777777777,1.0277777777777777,1.0,0.9166666666666666,0.9583333333333333,1.090909090909091,1.090909090909091,1.0833333333333335,1.0833333333333335,0.07692307692307693,0.14285714285714285,0.10989010989010989,0.5384615384615385,0.5384615384615385,0.9340659340659341,0.9340659340659341,0.925,0.9166666666666666,0.9473684210526315,0.9260651629072681,0.8510644963469901,0.6031746031746031,1.0,0.7493734335839599,0.14285714285714285,0.95
