algorithm,params,run-id,accuracy,TPR,TNR,BCR,MCC,DIbinary,DIavgall,CV,H-accuracy,B-accuracy,W-accuracy,Race-accuracy,H-accuracy_over_W-accuracy,B-accuracy_over_W-accuracy,Race-accuracyRatio,diff:W-accuracytoH-accuracy,diff:W-accuracytoB-accuracy,Race-accuracyDiff,H-TPR,B-TPR,W-TPR,Race-TPR,H-TPR_over_W-TPR,B-TPR_over_W-TPR,Race-TPRRatio,diff:W-TPRtoH-TPR,diff:W-TPRtoB-TPR,Race-TPRDiff,H-TNR,B-TNR,W-TNR,Race-TNR,H-TNR_over_W-TNR,B-TNR_over_W-TNR,Race-TNRRatio,diff:W-TNRtoH-TNR,diff:W-TNRtoB-TNR,Race-TNRDiff,H-FPR,B-FPR,W-FPR,Race-FPR,H-FPR_over_W-FPR,B-FPR_over_W-FPR,Race-FPRRatio,diff:W-FPRtoH-FPR,diff:W-FPRtoB-FPR,Race-FPRDiff,H-FNR,B-FNR,W-FNR,Race-FNR,H-FNR_over_W-FNR,B-FNR_over_W-FNR,Race-FNRRatio,diff:W-FNRtoH-FNR,diff:W-FNRtoB-FNR,Race-FNRDiff,H-calibration+,B-calibration+,W-calibration+,Race-calibration+,H-calibration+_over_W-calibration+,B-calibration+_over_W-calibration+,Race-calibration+Ratio,diff:W-calibration+toH-calibration+,diff:W-calibration+toB-calibration+,Race-calibration+Diff,H-calibration-,B-calibration-,W-calibration-,Race-calibration-,H-calibration-_over_W-calibration-,B-calibration-_over_W-calibration-,Race-calibration-Ratio,diff:W-calibration-toH-calibration-,diff:W-calibration-toB-calibration-,Race-calibration-Diff,SG:Race-accuracy,SG:Race-TPR,SG:Race-TNR,SG:Race-BCR,SG:Race-MCC,SG:Race-DIbinary,SG:Race-DIavgall,SG:Race-CV,SG:Race-calibration-,SG:Race-calibration+
SVM,,0,0.7,0.47619047619047616,0.9473684210526315,0.7117794486215538,0.47370166938718355,1.0857142857142856,1.1509615384615386,1.0225563909774436,1.0,0.7692307692307693,0.5263157894736842,0.7651821862348177,1.9000000000000001,1.4615384615384617,1.680769230769231,1.473684210526316,1.242914979757085,1.3582995951417005,1.0,0.5,0.3333333333333333,0.611111111111111,3.0,1.5,2.25,1.6666666666666667,1.1666666666666667,1.4166666666666667,1.0,1.0,0.8571428571428571,0.9523809523809524,1.1666666666666667,1.1666666666666667,1.1666666666666667,1.1428571428571428,1.1428571428571428,1.1428571428571428,0.0,0.0,0.1428571428571429,0.04761904761904764,0.0,0.0,1.0,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.0,0.5,0.6666666666666667,0.3888888888888889,0.0,0.7499999999999999,0.37499999999999994,0.33333333333333326,0.8333333333333333,0.5833333333333333,1.0,1.0,0.8,0.9333333333333332,1.25,1.25,1.25,1.2,1.2,1.2,0.0,0.3,0.5714285714285714,0.2904761904761905,0.0,0.525,0.2625,0.4285714285714286,0.7285714285714286,0.5785714285714286,0.6666666666666666,0.4666666666666667,0.9285714285714286,0.6916666666666667,0.4171488438132567,1.425,1.425,1.111842105263158,0.5714285714285714,0.875
SVM,,1,0.75,0.875,0.6666666666666666,0.7708333333333333,0.5333964609104418,1.2934782608695654,1.273313492063492,1.1381074168797953,0.7777777777777778,0.5714285714285714,0.8823529411764706,0.7438530967942732,0.8814814814814815,0.6476190476190476,0.7645502645502646,0.8954248366013072,0.6890756302521008,0.7922502334267041,1.0,1.0,0.8,0.9333333333333332,1.25,1.25,1.25,1.2,1.2,1.2,0.6666666666666666,0.45454545454545453,1.0,0.7070707070707071,0.6666666666666666,0.45454545454545453,0.5606060606060606,0.6666666666666666,0.4545454545454546,0.5606060606060606,0.33333333333333337,0.5454545454545454,0.0,0.29292929292929293,0.0,0.0,1.0,1.3333333333333335,1.5454545454545454,1.4393939393939394,0.0,0.0,0.19999999999999996,0.06666666666666665,0.0,0.0,1.0,0.8,0.8,0.8,0.6,0.3333333333333333,1.0,0.6444444444444445,0.6,0.3333333333333333,0.4666666666666667,0.6,0.33333333333333326,0.4666666666666666,0.0,0.0,0.2222222222222222,0.07407407407407407,0.0,0.0,1.0,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.8823529411764706,0.8461538461538461,1.0,0.9,0.7888106377466156,1.3660714285714286,1.3660714285714286,1.1722689075630253,0.2222222222222222,1.0
SVM,,2,0.725,0.47619047619047616,1.0,0.7380952380952381,0.549169647365276,1.3529411764705883,1.3416666666666668,1.0767263427109974,1.0,0.8888888888888888,0.5652173913043478,0.8180354267310789,1.7692307692307694,1.5726495726495726,1.670940170940171,1.4347826086956523,1.3236714975845412,1.3792270531400967,1.0,0.75,0.3333333333333333,0.6944444444444445,3.0,2.25,2.625,1.6666666666666667,1.4166666666666667,1.5416666666666667,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.25,0.6666666666666667,0.3055555555555556,0.0,0.37499999999999994,0.18749999999999997,0.33333333333333326,0.5833333333333333,0.45833333333333326,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.16666666666666666,0.5555555555555556,0.24074074074074073,0.0,0.3,0.15,0.4444444444444444,0.611111111111111,0.5277777777777777,0.6774193548387096,0.42105263157894735,1.0,0.7105263157894737,0.4900980294098035,1.5333333333333332,1.5333333333333332,1.1159420289855073,0.5555555555555556,1.0
SVM,,3,0.725,0.7857142857142857,0.6923076923076923,0.739010989010989,0.4565749798446152,0.9839572192513368,0.9707792207792207,0.9923273657289002,0.7142857142857143,0.6,0.782608695652174,0.6989648033126294,0.9126984126984127,0.7666666666666666,0.8396825396825396,0.9316770186335404,0.817391304347826,0.8745341614906832,1.0,0.6666666666666666,0.8,0.8222222222222223,1.25,0.8333333333333333,1.0416666666666665,1.2,0.8666666666666666,1.0333333333333332,0.6666666666666666,0.5714285714285714,0.7692307692307693,0.6691086691086691,0.8666666666666666,0.7428571428571428,0.8047619047619047,0.8974358974358974,0.8021978021978021,0.8498168498168497,0.33333333333333337,0.4285714285714286,0.23076923076923073,0.3308913308913309,1.4444444444444449,1.8571428571428577,1.6507936507936511,1.1025641025641026,1.197802197802198,1.1501831501831503,0.0,0.33333333333333337,0.19999999999999996,0.17777777777777778,0.0,1.6666666666666672,0.8333333333333336,0.8,1.1333333333333333,0.9666666666666667,0.3333333333333333,0.4,0.7272727272727273,0.4868686868686869,0.4583333333333333,0.55,0.5041666666666667,0.606060606060606,0.6727272727272727,0.6393939393939394,0.0,0.2,0.16666666666666666,0.12222222222222223,0.0,1.2000000000000002,0.6000000000000001,0.8333333333333334,1.0333333333333334,0.9333333333333333,0.782608695652174,0.8181818181818182,0.7692307692307693,0.7846153846153847,0.564901955311025,1.0454545454545454,1.0454545454545454,1.0217391304347827,0.17647058823529413,0.7272727272727273
SVM,,4,0.85,1.0,0.7272727272727273,0.8636363636363636,0.7385489458759962,0.75,0.75,0.8333333333333334,1.0,0.625,0.875,0.8333333333333334,1.1428571428571428,0.7142857142857143,0.9285714285714286,1.125,0.75,0.9375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4,0.7272727272727273,0.709090909090909,1.375,0.55,0.9625,1.2727272727272727,0.6727272727272727,0.9727272727272727,0.0,0.6,0.2727272727272727,0.2909090909090909,0.0,2.2,1.1,0.7272727272727273,1.3272727272727272,1.0272727272727273,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.8125,0.7708333333333334,1.2307692307692308,0.6153846153846154,0.9230769230769231,1.1875,0.6875,0.9375,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.90625,1.0,0.8235294117647058,0.9117647058823529,0.828416869579514,1.125,1.125,1.0833333333333335,0.0,0.8333333333333334
SVM,,5,0.8,0.6,1.0,0.8,0.6546536707079772,1.6666666666666667,1.6203703703703702,1.1600000000000001,1.0,0.8888888888888888,0.72,0.8696296296296296,1.3888888888888888,1.2345679012345678,1.3117283950617282,1.28,1.1688888888888889,1.2244444444444444,1.0,0.8,0.46153846153846156,0.7538461538461538,2.1666666666666665,1.7333333333333334,1.95,1.5384615384615383,1.3384615384615386,1.4384615384615385,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.19999999999999996,0.5384615384615384,0.24615384615384614,0.0,0.3714285714285714,0.1857142857142857,0.46153846153846156,0.6615384615384615,0.5615384615384615,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.2,0.3684210526315789,0.18947368421052632,0.0,0.5428571428571429,0.27142857142857146,0.631578947368421,0.8315789473684211,0.7315789473684211,0.7741935483870968,0.5555555555555556,1.0,0.7777777777777778,0.6091095901015046,1.8518518518518519,1.8518518518518519,1.2044444444444444,0.3684210526315789,1.0
SVM,,6,0.675,0.5714285714285714,0.7894736842105263,0.6804511278195489,0.3678836036909795,0.5555555555555556,0.5394345238095238,0.7866666666666666,0.875,1.0,0.52,0.7983333333333333,1.6826923076923077,1.923076923076923,1.8028846153846154,1.355,1.48,1.4175,1.0,1.0,0.5,0.8333333333333334,2.0,2.0,2.0,1.5,1.5,1.5,0.8333333333333334,1.0,0.5714285714285714,0.8015873015873017,1.4583333333333335,1.75,1.6041666666666667,1.2619047619047619,1.4285714285714286,1.3452380952380953,0.16666666666666663,0.0,0.4285714285714286,0.1984126984126984,0.3888888888888888,0.0,0.1944444444444444,0.738095238095238,0.5714285714285714,0.6547619047619047,0.0,0.0,0.5,0.16666666666666666,0.0,0.0,1.0,0.5,0.5,0.5,0.6666666666666666,1.0,0.75,0.8055555555555555,0.8888888888888888,1.3333333333333333,1.1111111111111112,0.9166666666666666,1.25,1.0833333333333333,0.0,0.0,0.6923076923076923,0.23076923076923075,0.0,0.0,1.0,0.3076923076923077,0.3076923076923077,0.3076923076923077,0.625,0.55,0.7692307692307693,0.6477732793522267,0.29554655870445345,0.78125,1.0,0.895,0.6923076923076923,0.7692307692307693
SVM,,7,0.65,1.0,0.391304347826087,0.6956521739130435,0.4632345574970277,0.9473684210526316,0.9263157894736842,0.9583333333333334,0.5,0.5,0.75,0.5833333333333334,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.75,0.75,0.75,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4,0.2857142857142857,0.45454545454545453,0.3800865800865801,0.8800000000000001,0.6285714285714286,0.7542857142857143,0.9454545454545455,0.8311688311688312,0.8883116883116884,0.6,0.7142857142857143,0.5454545454545454,0.6199134199134199,1.1,1.3095238095238098,1.204761904761905,1.0545454545454547,1.168831168831169,1.1116883116883118,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25,0.375,0.6842105263157895,0.4364035087719298,0.36538461538461536,0.548076923076923,0.45673076923076916,0.5657894736842105,0.6907894736842105,0.6282894736842105,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.75,1.0,0.45454545454545453,0.7272727272727273,0.5576780295914437,1.0105263157894737,1.0105263157894737,1.0083333333333333,0.0,0.6842105263157895
SVM,,8,0.825,0.9375,0.75,0.84375,0.6744532734334624,0.5,0.5,0.65,1.0,0.7,0.8,0.8333333333333334,1.25,0.8749999999999999,1.0625,1.2,0.8999999999999999,1.0499999999999998,1.0,1.0,0.9166666666666666,0.9722222222222222,1.090909090909091,1.090909090909091,1.090909090909091,1.0833333333333335,1.0833333333333335,1.0833333333333335,1.0,0.6666666666666666,0.625,0.7638888888888888,1.6,1.0666666666666667,1.3333333333333335,1.375,1.0416666666666665,1.2083333333333333,0.0,0.33333333333333337,0.375,0.23611111111111113,0.0,0.888888888888889,0.4444444444444445,0.625,0.9583333333333334,0.7916666666666667,0.0,0.0,0.08333333333333337,0.02777777777777779,0.0,0.0,1.0,0.9166666666666666,0.9166666666666666,0.9166666666666666,1.0,0.25,0.7857142857142857,0.6785714285714285,1.2727272727272727,0.3181818181818182,0.7954545454545454,1.2142857142857144,0.4642857142857143,0.8392857142857144,0.0,0.0,0.16666666666666666,0.05555555555555555,0.0,0.0,1.0,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8666666666666667,0.9333333333333333,0.8,0.8666666666666667,0.7399400733959437,0.5714285714285715,1.0,0.7000000000000001,0.16666666666666666,0.8235294117647058
SVM,,9,0.825,0.6666666666666666,1.0,0.8333333333333333,0.6979824404521127,0.6790123456790124,0.7027777777777777,0.8686868686868687,1.0,0.8,0.7727272727272727,0.8575757575757575,1.2941176470588236,1.035294117647059,1.1647058823529413,1.2272727272727273,1.0272727272727273,1.1272727272727274,1.0,0.5,0.6428571428571429,0.7142857142857143,1.5555555555555554,0.7777777777777777,1.1666666666666665,1.3571428571428572,0.8571428571428571,1.1071428571428572,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.5,0.3571428571428571,0.2857142857142857,0.0,1.4000000000000001,0.7000000000000001,0.6428571428571429,1.1428571428571428,0.8928571428571428,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.25,0.38461538461538464,0.21153846153846154,0.0,0.6499999999999999,0.32499999999999996,0.6153846153846154,0.8653846153846154,0.7403846153846154,0.8333333333333334,0.7058823529411765,1.0,0.8529411764705883,0.7140055472954165,0.9166666666666666,1.0,0.9659090909090908,0.38461538461538464,1.0
